dataset,optimiser_variant,batch_size,with_rff,learning_rate,l2_radius,tail_avg_loss,time_elapsed_sec
higgs,momentum,32,False,0.01,5.0,0.93549603,6.499202999999397
higgs,momentum,128,False,0.01,5.0,0.9629138,5.53636660000484
higgs,momentum,256,False,0.01,5.0,0.973567,5.290254899999127
higgs,adagrad,1,False,0.01,5.0,0.99570715,48.213989699986996
higgs,adagrad,8,False,0.01,5.0,0.99703723,10.730061499998556
higgs,adagrad,32,False,0.01,5.0,0.99202913,6.579501100000925
higgs,adagrad,128,False,0.01,5.0,0.98948306,5.6397899000003235
higgs,adagrad,256,False,0.01,5.0,0.9892496,5.414009300002363
higgs,sgd,1,True,0.01,5.0,0.95171106,55.638440900002024
higgs,sgd,8,True,0.01,5.0,0.9824337,19.058282699988922
higgs,sgd,32,True,0.01,5.0,0.9916086,14.72420840000268
higgs,sgd,128,True,0.01,5.0,0.995703,13.20598240000254
higgs,sgd,256,True,0.01,5.0,0.9969722,13.216047800000524
higgs,momentum,1,True,0.01,5.0,0.9207255,59.210902999999234
higgs,momentum,8,True,0.01,5.0,0.93072915,18.855375900006038
higgs,momentum,32,True,0.01,5.0,0.93485856,13.50451859999157
higgs,momentum,128,True,0.01,5.0,0.95731354,12.277011399986804
higgs,momentum,256,True,0.01,5.0,0.96945256,12.119933599999058
higgs,adagrad,1,True,0.01,5.0,0.9913509,59.99976220000826
higgs,adagrad,8,True,0.01,5.0,0.95216346,18.970621100001154
higgs,adagrad,32,True,0.01,5.0,0.95103335,13.399856199990609
higgs,adagrad,128,True,0.01,5.0,0.9355734,12.636442500006524
higgs,adagrad,256,True,0.01,5.0,0.9357842,12.212450400009402
higgs,sgd,1,False,0.05,0.1,0.99522185,43.20352300000377
higgs,sgd,8,False,0.05,0.1,0.99524033,9.574371199996676
higgs,sgd,32,False,0.05,0.1,0.9952441,6.042438600008609
higgs,sgd,128,False,0.05,0.1,0.9952472,5.0996069999964675
higgs,sgd,256,False,0.05,0.1,0.99524784,4.906987199996365
higgs,momentum,1,False,0.05,0.1,0.99534976,44.19985900000029
higgs,momentum,8,False,0.05,0.1,0.99527824,9.880771700001787
higgs,momentum,32,False,0.05,0.1,0.9952636,6.13211130000127
higgs,momentum,128,False,0.05,0.1,0.9952574,5.103367500007153
higgs,momentum,256,False,0.05,0.1,0.995255,4.881190800006152
higgs,adagrad,1,False,0.05,0.1,0.99726737,46.79074949999631
higgs,adagrad,8,False,0.05,0.1,0.995288,10.667489400002523
higgs,adagrad,32,False,0.05,0.1,0.9952829,6.784592700001667
higgs,adagrad,128,False,0.05,0.1,0.9952792,5.144810099998722
higgs,adagrad,256,False,0.05,0.1,0.9952905,5.112998799988418
higgs,sgd,1,True,0.05,0.1,0.99487054,53.9224807999999
higgs,sgd,8,True,0.05,0.1,0.9948977,18.36754199999268
higgs,sgd,32,True,0.05,0.1,0.9949033,13.433465800000704
higgs,sgd,128,True,0.05,0.1,0.99490535,12.166729899996426
higgs,sgd,256,True,0.05,0.1,0.99490607,11.978463300009025
higgs,momentum,1,True,0.05,0.1,0.9950179,57.01148180000018
higgs,momentum,8,True,0.05,0.1,0.9949305,19.54929500000435
higgs,momentum,32,True,0.05,0.1,0.9949193,14.475243299995782
higgs,momentum,128,True,0.05,0.1,0.99491286,12.782307999994373
higgs,momentum,256,True,0.05,0.1,0.99491143,12.627649799993378
higgs,adagrad,1,True,0.05,0.1,0.9949398,63.27009810000891
higgs,adagrad,8,True,0.05,0.1,0.9949421,19.87418830000388
higgs,adagrad,32,True,0.05,0.1,0.9949434,15.92118049999408
higgs,adagrad,128,True,0.05,0.1,0.9949591,13.47961349999241
higgs,adagrad,256,True,0.05,0.1,0.99497914,13.429908699996304
higgs,sgd,1,False,0.05,1.0,0.95245945,43.801572500000475
higgs,sgd,8,False,0.05,1.0,0.9524895,9.954265199994552
higgs,sgd,32,False,0.05,1.0,0.96268153,6.239102700012154
higgs,sgd,128,False,0.05,1.0,0.98136544,5.330768700005137
higgs,sgd,256,False,0.05,1.0,0.9868604,5.390288800001144
higgs,momentum,1,False,0.05,1.0,0.9526377,46.78602339999634
higgs,momentum,8,False,0.05,1.0,0.9525335,10.618922199995723
higgs,momentum,32,False,0.05,1.0,0.95250964,6.694621999995434
higgs,momentum,128,False,0.05,1.0,0.9524995,5.609437799997977
higgs,momentum,256,False,0.05,1.0,0.9524982,5.372501599995303
higgs,adagrad,1,False,0.05,1.0,0.99765515,48.62681989998964
higgs,adagrad,8,False,0.05,1.0,0.9713803,10.424368699998013
higgs,adagrad,32,False,0.05,1.0,0.96842873,6.408041199989384
higgs,adagrad,128,False,0.05,1.0,0.9540441,5.368218700008583
higgs,adagrad,256,False,0.05,1.0,0.95363724,5.137332700003753
higgs,sgd,1,True,0.05,1.0,0.94904715,57.20926369998779
higgs,sgd,8,True,0.05,1.0,0.94906735,19.865569800007506
higgs,sgd,32,True,0.05,1.0,0.955943,14.976133699994534
higgs,sgd,128,True,0.05,1.0,0.9789349,13.376476300007198
higgs,sgd,256,True,0.05,1.0,0.98491025,13.151059499999974
higgs,momentum,1,True,0.05,1.0,0.9492116,58.08421279999311
higgs,momentum,8,True,0.05,1.0,0.94910824,18.362638499995228
higgs,momentum,32,True,0.05,1.0,0.949086,13.720430199988186
higgs,momentum,128,True,0.05,1.0,0.9490783,12.212367000000086
higgs,momentum,256,True,0.05,1.0,0.94907534,12.23201209999388
